0,-1.2183
0.001,-1.1841
0.002,-1.1523
0.003,-1.167
0.004,-1.2109
0.005,-1.2231
0.006,-1.2085
0.007,-1.2109
0.008,-1.2207
0.009,-1.2256
0.01,-1.2256
0.011,-1.2231
0.012,-1.2036
0.013,-1.1914
0.014,-1.2012
0.015,-1.2207
0.016,-1.2231
0.017,-1.2207
0.018,-1.2231
0.019,-1.2134
0.02,-1.1963
0.021,-1.2012
0.022,-1.2158
0.023,-1.2231
0.024,-1.2231
0.025,-1.2256
0.026,-1.2231
0.027,-1.2109
0.028,-1.2012
0.029,-1.1987
0.03,-1.1938
0.031,-1.1841
0.032,-1.1719
0.033,-1.1694
0.034,-1.1792
0.035,-1.2036
0.036,-1.2183
0.037,-1.2207
0.038,-1.2183
0.039,-1.2036
0.04,-1.1792
0.041,-1.1694
0.042,-1.1865
0.043,-1.2061
0.044,-1.2134
0.045,-1.2085
0.046,-1.1743
0.047,-1.1157
0.048,-1.0718
0.049,-1.0791
0.05,-1.1304
0.051,-1.1694
0.052,-1.1841
0.053,-1.1694
0.054,-1.1499
0.055,-1.1401
0.056,-1.1426
0.057,-1.1597
0.058,-1.1719
0.059,-1.1621
0.06,-1.1084
0.061,-1.04
0.062,-0.979
0.063,-0.9717
0.064,-1.0205
0.065,-1.0791
0.066,-1.1206
0.067,-1.1304
0.068,-1.1108
0.069,-1.0913
0.07,-1.0864
0.071,-1.0986
0.072,-1.106
0.073,-1.0962
0.074,-1.0522
0.075,-0.9937
0.076,-0.9595
0.077,-0.9644
0.078,-0.9863
0.079,-1.0181
0.08,-1.0205
0.081,-0.9839
0.082,-0.9375
0.083,-0.918
0.084,-0.9351
0.085,-0.9766
0.086,-0.9961
0.087,-0.9814
0.088,-0.9326
0.089,-0.8838
0.09,-0.8618
0.091,-0.8765
0.092,-0.9131
0.093,-0.9277
0.094,-0.8887
0.095,-0.8276
0.096,-0.7568
0.097,-0.7202
0.098,-0.73
0.099,-0.769
0.1,-0.8008
0.101,-0.7983
0.102,-0.7422
0.103,-0.6714
0.104,-0.6274
0.105,-0.6226
0.106,-0.6787
0.107,-0.7397
0.108,-0.7812
0.109,-0.7886
0.11,-0.7593
0.111,-0.7227
0.112,-0.7056
0.113,-0.7153
0.114,-0.7349
0.115,-0.7373
0.116,-0.7202
0.117,-0.7056
0.118,-0.686
0.119,-0.6812
0.12,-0.7031
0.121,-0.7251
0.122,-0.73
0.123,-0.7202
0.124,-0.6738
0.125,-0.6323
0.126,-0.6079
0.127,-0.6006
0.128,-0.6128
0.129,-0.6104
0.13,-0.5884
0.131,-0.5518
0.132,-0.5151
0.133,-0.498
0.134,-0.5103
0.135,-0.5298
0.136,-0.542
0.137,-0.542
0.138,-0.5225
0.139,-0.5078
0.14,-0.5127
0.141,-0.5396
0.142,-0.5908
0.143,-0.6177
0.144,-0.6177
0.145,-0.5835
0.146,-0.5347
0.147,-0.5078
0.148,-0.5151
0.149,-0.5322
0.15,-0.5493
0.151,-0.5469
0.152,-0.5078
0.153,-0.4663
0.154,-0.4492
0.155,-0.4468
0.156,-0.4614
0.157,-0.4761
0.158,-0.4883
0.159,-0.4858
0.16,-0.4639
0.161,-0.4565
0.162,-0.4639
0.163,-0.4785
0.164,-0.4858
0.165,-0.4785
0.166,-0.4517
0.167,-0.4346
0.168,-0.4321
0.169,-0.4297
0.17,-0.4297
0.171,-0.4468
0.172,-0.4565
0.173,-0.459
0.174,-0.4468
0.175,-0.437
0.176,-0.4346
0.177,-0.4346
0.178,-0.4321
0.179,-0.4321
0.18,-0.4321
0.181,-0.4321
0.182,-0.4346
0.183,-0.4297
0.184,-0.4297
0.185,-0.4321
0.186,-0.4419
0.187,-0.4736
0.188,-0.5127
0.189,-0.52
0.19,-0.4932
0.191,-0.4639
0.192,-0.4443
0.193,-0.4443
0.194,-0.4712
0.195,-0.5103
0.196,-0.542
0.197,-0.5322
0.198,-0.4956
0.199,-0.4736
0.2,-0.4687
0.201,-0.4907
0.202,-0.5347
0.203,-0.5542
0.204,-0.5322
0.205,-0.4883
